Grundform Verb,,Präsens alanyi,,,,,,Präsens targyas,,,,,,Vergangenheit alanyi ,,,,,,Vergangenheit targyas,,,,,,Zukunft alanyi,,,,,,Zukunft targyas,,,,,
,Übersetzung,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők,én,te ,ő/ön,mi,ti,ők
szorítani,drücken,szorítok,szorítasz,szorít,szorítunk,szorítotok,szorítanak,szorítom,szorítod,szorítja,szorítjuk,szorítjátok,szorítják,szorítottam,szorítottál,szorított,szorítottunk,szorítottatok,szorítottak,szorítottam,szorítottad,szorította,szorítottuk,szorítottátok,szorították,fogok szorítani,fogsz szorítani,fog szorítani,fogunk szorítani,fogtok szorítani,fognak szorítani,fogom szorítani,fogod szorítani,fogja szorítani,fogjuk szorítani,fogjátok szorítani,fogják szorítani
szaladni,rennen,szaladok,szaladsz,szalad,szaladunk,szaladtok,szaladnak,szaladtam,szaladtál,szaladt,szaladtunk,szaladtatok,szaladtak,szaladnék,szaladnál,szaladna,szaladnánk,szaladnátok,szaladnának,szaladtam volna,szaladtál volna,szaladt volna,szaladtunk volna,szaladtatok volna,szaladtak volna,,,,,,,,,,,,
repülni,fliegen,repülök,repülsz,repül,repülünk,repültök,repülnek,repültem,repültél,repült,repültünk,repültetek,repültek,repülnék,repülnél,repülne,repülnénk,repülnétek,repülnének,repültem volna,repültél volna,repült volna,repültünk volna,repültetek volna,repültek volna,,,,,,,,,,,,
úszni,schwimmen,úszom,úszol,úszik,úszunk,úsztok,úsznak,úsztam,úsztál,úszott,úsztunk,úsztatok,úsztak,úsznék,úsznál,úszna,úsznánk,úsznátok,úsznának,úsztam volna,úsztál volna,úszott volna,úsztunk volna,úsztatok volna,úsztak volna,,,,,,,,,,,,
fordítani,übersetzen,fordítok,fordítasz,fordít,fordítunk,fordítotok,fordítanak,fordítom,fordítod,fordítja,fordítjuk,fordítjátok,fordítják,fordítottam,fordítottál,fordított,fordítottunk,fordítottatok,fordítottak,fordítottam,fordítottad,fordította,fordítottuk,fordítottátok,fordították,fogok fordítani,fogsz fordítani,fog fordítani,fogunk fordítani,fogtok fordítani,fognak fordítani,fogom fordítani,fogod fordítani,fogja fordítani,fogjuk fordítani,fogjátok fordítani,fogják fordítani
jegyezni,notieren,jegyzek,jegyzel,jegyez,jegyzünk,jegyeztek,jegyeznek,jegyzem,jegyzed,jegyzi,jegyezzük,jegyzitek,jegyzik,jegyeztem,jegyeztél,jegyzett,jegyeztünk,jegyeztetek,jegyeztek,jegyeztem,jegyezted,jegyezte,jegyeztük,jegyeztétek,jegyezték,fogok jegyezni,fogsz jegyezni,fog jegyezni,fogunk jegyezni,fogtok jegyezni,fognak jegyezni,fogom jegyezni,fogod jegyezni,fogja jegyezni,fogjuk jegyezni,fogjátok jegyezni,fogják jegyezni
tanácsolni,raten,tanácsolok,tanácsolsz,tanácsol,tanácsolunk,tanácsoltok,tanácsolnak,tanácsolom,tanácsolod,tanácsolja,tanácsoljuk,tanácsoljátok,tanácsolják,tanácsoltam,tanácsoltál,tanácsolt,tanácsoltunk,tanácsoltatok,tanácsoltak,tanácsoltam,tanácsoltad,tanácsolta,tanácsoltuk,tanácsoltátok,tanácsolták,fogok tanácsolni,fogsz tanácsolni,fog tanácsolni,fogunk tanácsolni,fogtok tanácsolni,fognak tanácsolni,fogom tanácsolni,fogod tanácsolni,fogja tanácsolni,fogjuk tanácsolni,fogjátok tanácsolni,fogják tanácsolni
foglalkozni,beschäftigen sich,foglalkozom,foglalkozol,foglalkozik,foglalkozunk,foglalkoztok,foglalkoznak,foglalkoztam,foglalkoztál,foglalkozott,foglalkoztunk,foglalkoztatok,foglalkoztak,foglalkoznék,foglalkoznál,foglalkozna,foglalkoznánk,foglalkoznátok,foglalkoznának,foglalkoztam volna,foglalkoztál volna,foglalkozott volna,foglalkoztunk volna,foglalkoztatok volna,foglalkoztak volna,,,,,,,,,,,,
feltalálni,erfinden,feltalálok,feltalálsz,feltalál,feltalálunk,feltaláltok,feltalálnak,feltalálom,feltalálod,feltalálja,feltaláljuk,feltaláljátok,feltalálják,feltaláltam,feltaláltál,feltalált,feltaláltunk,feltaláltatok,feltaláltak,feltaláltam,feltaláltad,feltalálta,feltaláltuk,feltaláltátok,feltalálták,fogok feltalálni,fogsz feltalálni,fog feltalálni,fogunk feltalálni,fogtok feltalálni,fognak feltalálni,fogom feltalálni,fogod feltalálni,fogja feltalálni,fogjuk feltalálni,fogjátok feltalálni,fogják feltalálni
rendelni,bestellen,rendelek,rendelsz,rendel,rendelünk,rendeltek,rendelnek,rendelem,rendeled,rendeli,rendeljük,rendelitek,rendelik,rendeltem,rendeltél,rendelt,rendeltünk,rendeltetek,rendeltek,rendeltem,rendelted,rendelte,rendeltük,rendeltétek,rendelték,fogok rendelni,fogsz rendelni,fog rendelni,fogunk rendelni,fogtok rendelni,fognak rendelni,fogom rendelni,fogod rendelni,fogja rendelni,fogjuk rendelni,fogjátok rendelni,fogják rendelni
szállítani,liefern,szállítok,szállítasz,szállít,szállítunk,szállítotok,szállítanak,szállítom,szállítod,szállítja,szállítjuk,szállítjátok,szállítják,szállítottam,szállítottál,szállított,szállítottunk,szállítottatok,szállítottak,szállítottam,szállítottad,szállította,szállítottuk,szállítottátok,szállították,fogok szállítani,fogsz szállítani,fog szállítani,fogunk szállítani,fogtok szállítani,fognak szállítani,fogom szállítani,fogod szállítani,fogja szállítani,fogjuk szállítani,fogjátok szállítani,fogják szállítani
tekinteni,betrachten,tekintek,tekintesz,tekint,tekintünk,tekintetek,tekintenek,tekintem,tekinted,tekinti,tekintjük,tekintitek,tekintik,tekintettem,tekintettél,tekintett,tekintettünk,tekintettetek,tekintettek,tekintettem,tekintetted,tekintette,tekintettük,tekintettétek,tekintették,fogok tekinteni,fogsz tekinteni,fog tekinteni,fogunk tekinteni,fogtok tekinteni,fognak tekinteni,fogom tekinteni,fogod tekinteni,fogja tekinteni,fogjuk tekinteni,fogjátok tekinteni,fogják tekinteni
meglenni,da sein,megvagyok,megvagy,megvan,megvagyunk,megvagytok,megvannak,megvoltam,megvoltál,megvolt,megvoltunk,megvoltatok,megvoltak,meglennék,meglennél,meglenne,meglennénk,meglennétek,meglennének,meglettem volna,meglettél volna,meglett volna,meglettünk volna,meglettetek volna,meglettek volna,,,,,,,,,,,,
tapasztalni,erfahren,tapasztalok,tapasztalsz,tapasztal,tapasztalunk,tapasztaltok,tapasztalnak,tapasztalom,tapasztalod,tapasztalja,tapasztaljuk,tapasztaljátok,tapasztalják,tapasztaltam,tapasztaltál,tapasztalt,tapasztaltunk,tapasztaltatok,tapasztaltak,tapasztaltam,tapasztaltad,tapasztalta,tapasztaltuk,tapasztaltátok,tapasztalták,fogok tapasztalni,fogsz tapasztalni,fog tapasztalni,fogunk tapasztalni,fogtok tapasztalni,fognak tapasztalni,fogom tapasztalni,fogod tapasztalni,fogja tapasztalni,fogjuk tapasztalni,fogjátok tapasztalni,fogják tapasztalni
ütni,schlagen,ütök,ütsz,üt,ütünk,üttök,ütnek,ütöm,ütöd,üti,ütjük,ütitek,ütik,ütöttem,ütöttél,ütött,ütöttünk,ütöttetek,ütöttek,ütöttem,ütötted,ütötte,ütöttük,ütöttétek,ütötték,fogok ütni,fogsz ütni,fog ütni,fogunk ütni,fogtok ütni,fognak ütni,fogom ütni,fogod ütni,fogja ütni,fogjuk ütni,fogjátok ütni,fogják ütni
verni,schlagen,verek,versz,ver,verünk,vertek,vernek,verem,vered,veri,verjük,veritek,verik,vertem,vertél,vert,vertünk,vertetek,vertek,vertem,verted,verte,vertük,vertétek,verték,fogok verni,fogsz verni,fog verni,fogunk verni,fogtok verni,fognak verni,fogom verni,fogod verni,fogja verni,fogjuk verni,fogjátok verni,fogják verni
függeni,hängen,függök,függesz,függ,függünk,függötök,függenek,függöttem,függöttél,függött,függöttünk,függöttetek,függöttek,függenék,függenél,függene,függenénk,függenétek,függenének,függöttem volna,függöttél volna,függött volna,függöttünk volna,függöttetek volna,függöttek volna,,,,,,,,,,,,
égni,brennen,égek,égsz,ég,égünk,égtek,égnek,égtem,égtél,égett,égtünk,égtetek,égtek,égnék,égnél,égne,égnénk,égnétek,égnének,égtem volna,égtél volna,égett volna,égtünk volna,égtetek volna,égtek volna,,,,,,,,,,,,
küldeni,schicken,küldök,küldesz,küld,küldünk,küldötök,küldenek,küldöm,küldöd,küldi,küldjük,külditek,küldik,küldtem,küldtél,küldött,küldtünk,küldtetek,küldtek,küldtem,küldted,küldte,küldtük,küldtétek,küldték,fogok küldeni,fogsz küldeni,fog küldeni,fogunk küldeni,fogtok küldeni,fognak küldeni,fogom küldeni,fogod küldeni,fogja küldeni,fogjuk küldeni,fogjátok küldeni,fogják küldeni
fizetni,bezahlen,fizetek,fizetsz,fizet,fizetünk,fizettek,fizetnek,fizetem,fizeted,fizeti,fizetjük,fizetitek,fizetik,fizettem,fizettél,fizetett,fizettünk,fizettetek,fizettek,fizettem,fizetted,fizette,fizettük,fizettétek,fizették,fogok fizetni,fogsz fizetni,fog fizetni,fogunk fizetni,fogtok fizetni,fognak fizetni,fogom fizetni,fogod fizetni,fogja fizetni,fogjuk fizetni,fogjátok fizetni,fogják fizetni
számolni,zählen,számolok,számolsz,számol,számolunk,számoltok,számolnak,számolom,számolod,számolja,számoljuk,számoljátok,számolják,számoltam,számoltál,számolt,számoltunk,számoltatok,számoltak,számoltam,számoltad,számolta,számoltuk,számoltátok,számolták,fogok számolni,fogsz számolni,fog számolni,fogunk számolni,fogtok számolni,fognak számolni,fogom számolni,fogod számolni,fogja számolni,fogjuk számolni,fogjátok számolni,fogják számolni
lélegezni,atmen,lélegzem,lélegzel,lélegzik,lélegzünk,lélegeztek,lélegeznek,lélegzem,lélegzed,lélegzi,lélegezzük,lélegzitek,lélegzik,lélegeztem,lélegeztél,lélegzett,lélegeztünk,lélegeztetek,lélegeztek,lélegeztem,lélegezted,lélegezte,lélegeztük,lélegeztétek,lélegezték,fogok lélegezni,fogsz lélegezni,fog lélegezni,fogunk lélegezni,fogtok lélegezni,fognak lélegezni,fogom lélegezni,fogod lélegezni,fogja lélegezni,fogjuk lélegezni,fogjátok lélegezni,fogják lélegezni
tetszeni,gefallen,tetszem,tetszel,tetszik,tetszünk,tetszetek,tetszenek,tetszettem,tetszettél,tetszett,tetszettünk,tetszettetek,tetszettek,tetszenék,tetszenél,tetszene,tetszenénk,tetszenétek,tetszenének,tetszettem volna,tetszettél volna,tetszett volna,tetszettünk volna,tetszettetek volna,tetszettek volna,,,,,,,,,,,,
felhívni,anrufen,felhívok,felhívsz,felhív,felhívunk,felhívtok,felhívnak,felhívom,felhívod,felhívja,felhívjuk,felhívjátok,felhívják,felhívtam,felhívtál,felhívott,felhívtunk,felhívtatok,felhívtak,felhívtam,felhívtad,felhívta,felhívtuk,felhívtátok,felhívták,fogok felhívni,fogsz felhívni,fog felhívni,fogunk felhívni,fogtok felhívni,fognak felhívni,fogom felhívni,fogod felhívni,fogja felhívni,fogjuk felhívni,fogjátok felhívni,fogják felhívni
osztani,teilen,osztok,osztasz,oszt,osztunk,osztotok,osztanak,osztom,osztod,osztja,osztjuk,osztjátok,osztják,osztottam,osztottál,osztott,osztottunk,osztottatok,osztottak,osztottam,osztottad,osztotta,osztottuk,osztottátok,osztották,fogok osztani,fogsz osztani,fog osztani,fogunk osztani,fogtok osztani,fognak osztani,fogom osztani,fogod osztani,fogja osztani,fogjuk osztani,fogjátok osztani,fogják osztani
küzdeni,kämpfen,küzdök,küzdesz,küzd,küzdünk,küzdötök,küzdenek,küzdöm,küzdöd,küzdi,küzdjük,küzditek,küzdik,küzdtem,küzdtél,küzdött,küzdtünk,küzdtetek,küzdtek,küzdtem,küzdted,küzdte,küzdtük,küzdtétek,küzdték,fogok küzdeni,fogsz küzdeni,fog küzdeni,fogunk küzdeni,fogtok küzdeni,fognak küzdeni,fogom küzdeni,fogod küzdeni,fogja küzdeni,fogjuk küzdeni,fogjátok küzdeni,fogják küzdeni
nyitni,öffnen,nyitok,nyitsz,nyit,nyitunk,nyittok,nyitnak,nyitom,nyitod,nyitja,nyitjuk,nyitjátok,nyitják,nyitottam,nyitottál,nyitott,nyitottunk,nyitottatok,nyitottak,nyitottam,nyitottad,nyitotta,nyitottuk,nyitottátok,nyitották,fogok nyitni,fogsz nyitni,fog nyitni,fogunk nyitni,fogtok nyitni,fognak nyitni,fogom nyitni,fogod nyitni,fogja nyitni,fogjuk nyitni,fogjátok nyitni,fogják nyitni
bízni,vertrauen,bízom,bízol,bízik,bízunk,bíztok,bíznak,bíztam,bíztál,bízott,bíztunk,bíztatok,bíztak,bíznék,bíznál,bízna,bíznánk,bíznátok,bíznának,bíztam volna,bíztál volna,bízott volna,bíztunk volna,bíztatok volna,bíztak volna,,,,,,,,,,,,
